county,state,season,latitude,longitude,date,classification,temperature_high,temperature_low,dew_point,humidity,cloud_cover,moon_phase,precip_intensity,pressure,uv_index,visibility,wind_bearing,wind_speed
Yakima County,Washington,Summer,46.8733,-121.3051,7/21/2000,Class B,80.08,52.17,55.23,0.74,0.02,0.66,0,1015.35,9,7.95,230,8.21
Snohomish County,Washington,Spring,47.79111,-122.1914,5/12/1999,Class B,50.55,42.84,42.4,0.83,0.99,0.9,0.0208,1018.23,4,9.44,171,1.37
Parker County,Texas,Fall,32.7,-98.03333,10/17/2003,Class A,77.13,46.08,52.25,0.63,0,0.73,0,1021.34,6,10,2,3.16
Tipton County,Tennessee,Fall,35.5035,-89.91499,10/15/1981,Class B,80.05,66.03,60.86,0.75,0.94,0.58,,1022,4,6.92,83,1.16
Madison County,Alabama,Winter,34.95605,-86.4559,11/15/1983,Class A,55.21,41.33,43.82,0.74,0.96,0.34,0.032,1010.21,3,7.28,289,11.81
Kittitas County,Washington,Fall,47.3178,-121.2802,10/8/2000,Class A,64.57,50.53,31.69,0.41,0.05,0.35,0,1017.1,4,10,192,1.47
Morgan County,Alabama,Fall,34.5422,-86.66465,10/10/2000,Class A,66.51,31.19,26.19,0.51,0,0.41,0,1028.85,6,10,25,3.49
Fayette County,West Virginia,Fall,38,-81,11/1/1998,Class B,66.11,43.6,43.44,0.74,0,0.41,0,1018.87,4,7.18,6,2.01
Duval County,Florida,Summer,30.2333,-81.52915,9/22/2000,Class A,82.09,75.26,76.81,0.91,0.33,0.81,0.0162,1016.23,5,8.52,140,5.03
Limestone County,Alabama,Summer,34.9263,-87.02025,8/20/1993,Class A,92.63,70.65,74.23,0.83,0.58,0.11,0.0034,1015.8,7,5.52,228,1.48
Klamath County,Oregon,Summer,42.47,-122.275,8/15/1998,Class B,74.58,46.68,53.09,0.79,0.04,0.78,0,1013.19,9,10,322,6.02
Pitkin County,Colorado,Summer,39.1084,-107.0153,8/23/2000,Class A,67.48,38.7,41.79,0.75,0.28,0.79,,1021.54,10,10,166,2.58
Pierce County,Washington,Fall,47.0274,-122.3003,10/7/2000,Class A,74.76,43.94,38.93,0.61,0.06,0.32,0,1015.06,4,8.41,209,2.14
Crawford County,Missouri,Summer,37.8597,-91.432,8/15/1977,Class A,88.9,74.84,69.83,0.73,0.2,0.02,,1017.04,8,8.42,147,7.67
Placer County,California,Summer,39.01917,-120.8275,6/17/2000,Class B,84.1,69.16,40.29,0.29,0,0.53,,1004.55,11,10,89,3.8
Marion County,Iowa,Fall,41.3675,-92.9008,10/24/2000,Class A,75.63,63.03,59.59,0.84,0.72,0.91,0,1026.92,4,4.92,124,3.63
Ascension Parish,Louisiana,Fall,30.1878,-90.8493,10/23/2000,Class A,83.21,57.28,62.69,0.75,0.17,0.87,0,1026.63,4,8.05,99,7.16
Humboldt County,California,Summer,40.80222,-124.1625,6/1/1957,Class A,62.72,47.59,50.53,0.86,0.18,0.12,,1019.23,10,6.86,307,2.15
Park County,Colorado,Summer,39.2026,-106.1143,9/21/2000,Class B,53.92,34.11,32.42,0.81,0.68,0.78,0.0083,1003.38,4,9.25,345,2.19
Multnomah County,Oregon,Fall,45.63893,-122.8889,10/15/1994,Class A,56.11,36.19,43.41,0.88,0.64,0.38,0,1016.21,3,10,284,0.94
Polk County,Oregon,Fall,45.06215,-123.7027,10/30/2000,Class A,58.77,37.89,41.76,0.88,0,0.12,,1019.83,3,9.16,318,0.35
Douglas County,Oregon,Fall,44.55505,-123.3604,10/4/1980,Class A,81.77,46.67,48.37,0.75,0.19,0.87,0,1016.49,4,8.03,328,0.67
Lewis County,Washington,Fall,46.71,-122.3442,9/22/1990,Class B,85.25,45.7,49.01,0.77,0.06,0.12,,1015.62,5,7.98,314,1.45
Colbert County,Alabama,Fall,34.80405,-87.50905,11/15/1999,Class A,61.84,35.75,29.62,0.43,0,0.23,0,1018.53,4,10,0,7.32
Brevard County,Florida,Fall,28.3725,-80.8595,9/15/1989,Class A,86.77,73.57,73.98,0.78,0.53,0.51,0,1015.1,6,9.94,143,3.42
Broward County,Florida,Winter,26.27395,-80.1937,1/15/1975,Class A,71.94,64.03,45.69,0.6,0.33,0.1,0,1023.08,4,9.59,21,11.35
Broward County,Florida,Summer,26.08285,-80.21025,7/15/1980,Class A,92.33,75.1,74.98,0.8,0.9,0.11,0.0425,1016.69,5,6.7,261,3.4
Marion County,Florida,Winter,29.01175,-82.03495,10/28/2000,Class B,84.19,55.41,54.49,0.7,0,0.05,,1019.78,6,8.83,40,0.86
Clay County,Florida,Unknown,30.05705,-81.75165,8/15/1986,Class A,89.39,73.68,72.55,0.8,0.54,0.35,0.0016,1015.26,8,6.53,263,4.6
Collier County,Florida,Winter,26.15915,-81.76041,11/19/1983,Class A,79.44,63,58.46,0.76,0.39,0.47,0,1017.51,5,9.31,109,6.88
Prince William County,Virginia,Summer,38.52019,-77.36115,7/1/1957,Class A,80.19,58.64,56.53,0.58,0.18,0.14,0,1010.21,9,9.87,324,8.1
Tillamook County,Oregon,Summer,45.5891,-123.5469,8/2/1998,Class A,86.07,51.85,55.31,0.73,0.02,0.32,,1021.79,9,,327,1.4
Clackamas County,Oregon,Summer,45.12545,-122.533,7/15/1995,Class A,82.2,58.24,53.92,0.67,0.18,0.62,0,1021.51,9,10,5,4.77
Stone County,Missouri,Summer,36.63621,-93.31413,8/1/1981,Class B,88.19,69.1,68.82,0.78,0.45,0.06,,1020.86,9,5.44,128,6.93
Marion County,Florida,Summer,29.19395,-81.9233,7/25/1997,Class A,91.5,74.46,72.34,0.76,0.1,0.7,,1017.75,9,9.93,196,2.85
Okaloosa County,Florida,Fall,30.51295,-86.5065,9/15/1996,Class A,86.29,76.78,70.24,0.75,0.59,0.08,,1012.36,5,6.89,134,7.18
Osceola County,Florida,Spring,28.3609,-80.93504,3/13/1999,Class A,75.78,67.34,58.68,0.74,0.6,0.86,0,1015.86,5,8.71,116,8.5
Osceola County,Florida,Spring,28.1382,-81.0621,5/21/1999,Class A,84.08,69.16,67.19,0.71,0.64,0.23,0,1019.11,8,7.57,92,8.16
Pasco County,Florida,Summer,28.3836,-82.6053,6/15/1984,Class A,87.97,75.88,70.76,0.79,0.52,0.57,0.0005,1018.77,8,9.46,107,4.96
Volusia County,Florida,Spring,28.85025,-80.93919,4/17/1989,Class A,79.2,61.71,63.15,0.73,0.82,0.39,0,1020.79,5,8.69,79,8.74
Volusia County,Florida,Fall,28.9935,-80.933,10/15/1999,Class B,78.83,75.2,72.42,0.91,0.86,0.19,0.0418,1011.6,4,8.75,76,10.58
Ward County,North Dakota,Spring,48.25422,-101.3166,4/21/2000,Class A,79.51,38.4,31.01,0.32,0.34,0.6,,1011.47,6,10,237,11.14
Limestone County,Alabama,Spring,34.92855,-87.1105,4/15/1978,Class A,76.72,41.68,42.34,0.55,0.56,0.26,0,1019.14,5,9.91,40,2.63
Midland County,Michigan,Fall,43.74,-84.58583,11/15/1997,Class A,30.2,14.81,25.35,0.9,0.98,0.54,,1013.21,2,5.51,6,6.5
Sanilac County,Michigan,Summer,43.26806,-82.53083,8/15/1987,Class A,91.38,72.72,71.19,0.79,0.43,0.72,,1014.05,8,,189,12.63
Teller County,Colorado,Fall,38.8922,-105.1058,9/11/1999,Class A,62.97,31.57,42.95,0.72,0.58,0.07,0.0011,1010.99,6,10,354,7.22
Shelby County,Ohio,Fall,40.24354,-84.18491,11/1/1982,Class A,75.21,60.82,57.38,0.69,0.68,0.51,0,1014.29,3,9.29,213,11.02
Delaware County,Ohio,Summer,40.15002,-83.02854,8/15/1989,Class A,83.44,64.62,63.08,0.72,0.62,0.44,,1014.49,5,3.42,220,3.56
Douglas County,Colorado,Fall,39.21338,-105.0652,9/28/1998,Class A,77.59,43.93,32.97,0.47,0.36,0.25,,1014.25,6,10,133,3.63
Chelan County,Washington,Spring,47.4644,-120.6705,5/22/1977,Class B,68.24,50.25,30.85,0.43,0.5,0.14,,1007.11,9,10,131,0.18
Clallam County,Washington,Summer,48.1609,-124.7312,7/18/1984,Class A,65.61,44.5,45.54,0.72,0.21,0.68,0,1021.06,9,8.75,304,5.6
Clark County,Washington,Summer,45.8581,-122.4089,6/14/1989,Class A,60.68,51.62,56.94,0.97,1,0.35,0.0136,1016.46,4,7.67,128,0.94
Clark County,Washington,Summer,45.69,-122.3353,6/28/1985,Class B,74.92,52.1,43.96,0.6,0.16,0.37,0,1018.46,10,10,305,4.94
Columbia County,Washington,Fall,46.37944,-117.9458,9/15/1991,Class A,79.08,48.12,35.85,0.43,0.07,0.25,,1021.12,6,10,74,1.34
Jefferson County,Washington,Spring,47.7442,-122.8994,4/14/1996,Class B,67.2,47.73,37.61,0.59,0.28,0.89,,1016.23,6,10,123,1.96
Jefferson County,Washington,Spring,47.57778,-124.2933,3/19/1999,Class C,66.4,42.44,40.13,0.69,0.02,0.08,0,1017.18,5,10,47,7.27
Grays Harbor County,Washington,Summer,46.9782,-123.3893,7/1/1995,Class A,77.36,58.44,50.97,0.58,0.77,0.12,0,1013.81,6,8.39,216,8.29
King County,Washington,Winter,47.425,-121.4142,11/26/1982,Class A,22.87,21.95,15.6,0.79,0.67,0.35,0.0039,1021.57,1,5.8,82,13
Grays Harbor County,Washington,Fall,47.2475,-123.8886,10/15/1997,Class A,70.8,50.98,54.56,0.88,0.62,0.49,,1022.65,2,9.41,106,3.64
Umatilla County,Oregon,Fall,45.84175,-117.991,3/5/2001,Class A,40.44,19.77,31.04,1,0.54,0.36,,1019.24,4,8.01,172,3.05
Portage County,Ohio,Summer,41.13021,-81.11578,8/15/1999,Class B,74.73,53.46,54.91,0.71,0.43,0.15,0,1020.51,5,9.16,14,5.37
Santa Rosa County,Florida,Winter,30.84015,-86.9648,1/15/1982,Class A,53.51,41.19,29.73,0.74,0.41,0.71,,1019.92,4,6.85,222,2.28
Clark County,Ohio,Winter,39.92821,-83.64597,11/1/1989,Class B,51.68,36.34,34.11,0.77,0.56,0.09,0,1023.9,3,8.67,208,3.84
Skamania County,Washington,Spring,45.75056,-121.6508,5/1/1950,Class B,47.28,33.33,40.33,0.86,0.85,0.48,,1003.53,4,10,278,6.5
Anderson County,Kentucky,Fall,37.95708,-84.97527,1/9/2005,Class A,51.43,43.05,35.31,0.75,0.51,0.97,0,1024.94,2,9.76,191,6.2
Hillsborough County,Florida,Summer,27.7068,-82.45165,6/16/1984,Class A,87.43,74.37,72.19,0.78,0.89,0.6,0,1020.33,5,8.9,98,9
Smith County,Texas,Fall,32.13972,-95.32,10/22/2003,Class A,90.67,60.47,55.16,0.55,0,0.89,0,1014.86,6,9.8,248,2.8
Umatilla County,Oregon,Spring,45.99215,-118.0811,3/20/2001,Class A,50.3,27.28,29.98,0.72,0,0.87,,1023.02,5,10,134,3.22
Snohomish County,Washington,Spring,47.8925,-122.0111,4/17/1995,Class A,54.28,41.19,39.11,0.69,0.96,0.58,,1011.91,4,8.5,173,8.73
Seminole County,Florida,Fall,28.662,-81.31985,10/15/1981,Class B,79.81,57.13,65.88,0.83,0.3,0.58,,1017.74,5,8.87,8,10.19
Clallam County,Washington,Fall,47.9261,-123.3769,1/4/2001,Class A,29.57,27.75,27.18,1,0.99,0.32,0.0694,1018.55,1,3.49,205,0.98
Chelan County,Washington,Summer,47.29833,-120.3,7/15/2000,Class B,74.56,46.89,40.46,0.49,0,0.48,,1021.18,9,10,302,3.45
Gasconade County,Missouri,Unknown,38.441,-91.6284,6/30/1954,Class B,92.51,72.53,63.91,0.59,0.44,0.01,,1017.96,8,,197,4.53
Henry County,Missouri,Fall,38.46253,-93.91737,11/20/1998,Class B,55.87,28.87,31.38,0.68,0.21,0.05,,1023.67,3,7,248,5.86
Ashtabula County,Ohio,Winter,41.72134,-80.88494,12/28/2000,Class A,19.77,14.36,12,0.81,1,0.09,0.0005,1021.35,1,5.12,315,4.56
Marion County,Missouri,Spring,39.8397,-91.6533,6/15/1997,Class A,81.13,64.95,62.12,0.69,0.94,0.33,,1010.46,5,9.61,171,10.24
Lubbock County,Texas,Winter,33.45278,-101.5361,1/6/2001,Class B,57.36,35.4,32.84,0.68,0,0.38,0,1012.06,3,10,289,8.64
Grays Harbor County,Washington,Winter,47.0413,-124.053,12/1/2000,Class B,46.42,46.42,42.88,0.9,0.97,0.18,,1017.42,1,8.59,85,10.92
Lancaster County,Nebraska,Unknown,40.84792,-96.6824,6/30/1980,Class A,98.22,72.08,61.13,0.54,0.3,0.58,0,1011.12,10,10,133,9.66
Kittitas County,Washington,Winter,47.14472,-120.7967,1/1/1997,Class B,43.9,38.52,33.62,0.73,0.89,0.74,0.0308,997.2,1,3.86,225,4.29
Dallas County,Iowa,Fall,41.59377,-93.974,11/15/1978,Class A,37.01,33.33,25.23,0.72,0.97,0.53,0,1029.07,2,10,66,3.95
Cabell County,West Virginia,Summer,38.38096,-82.52633,7/1/1980,Class B,83.32,66.39,58.89,0.7,0.66,0.61,0,1016.88,5,8.67,197,2.01
Marion County,West Virginia,Winter,39.52122,-80.37878,12/1/1978,Class A,51.46,34.43,22.7,0.62,0.18,0.05,,1018.4,2,9.57,197,2.17
Marion County,West Virginia,Spring,39.54114,-80.11329,4/20/1999,Class A,53.77,41.44,39.33,0.72,0.78,0.17,0.0171,1015.14,5,9.14,317,2.75
Pendleton County,West Virginia,Winter,38.87813,-79.3434,1/28/1998,Class A,35.39,28.4,31.98,0.9,1,0.01,0.0201,1013.13,2,2.99,344,2.85
Randolph County,West Virginia,Fall,38.95242,-79.42547,9/23/1997,Class A,56.29,44.23,49.73,0.96,0.96,0.75,0.0001,1020.8,4,7.71,356,0.91
Wayne County,West Virginia,Fall,38.12764,-82.59822,9/1/1983,Class A,82.37,65.27,64.27,0.78,0.56,0.8,0,1015.28,6,3.07,52,4.72
Lincoln County,Oregon,Summer,44.96651,-123.7718,7/15/2000,Class B,55.05,36.97,44.19,0.97,0,0.48,,1020.76,10,9.66,342,11.85
Eagle County,Colorado,Summer,39.4627,-106.6035,9/19/2000,Class B,62.86,37.65,36.25,0.7,0.25,0.7,0,1009.03,7,10,304,4.23
Walla Walla County,Washington,Winter,46.03333,-117.9486,1/16/2001,Class B,22.27,20.32,22.09,1,1,0.76,,1033.09,1,4.67,268,1.45
Greenup County,Kentucky,Winter,38.53187,-82.7989,1/4/2001,Class A,30.56,27.54,22.9,0.81,0.94,0.31,0.0002,1020.63,2,8.64,236,5.94
Polk County,Iowa,Winter,41.62183,-93.63804,2/15/2000,Class A,58.43,18.48,27.73,0.68,0.47,0.36,0.0003,1011.4,3,6.27,259,5.38
Woodbury County,Iowa,Summer,42.50817,-96.40213,8/9/1997,Class A,78.64,57.25,63.1,0.84,0.46,0.2,0.0005,1012.32,7,7.7,164,2.91
Orange County,Florida,Spring,28.6901,-81.5446,4/15/1980,Class A,75.02,52.01,47.92,0.6,0.12,0.03,,1017.75,9,10,276,9.85
Muskogee County,Oklahoma,Fall,35.70166,-95.70208,9/28/1997,Class A,76.54,46.91,57.37,0.75,0.15,0.91,,1012.75,6,9.56,17,3.74
Logan County,Oklahoma,Summer,35.74111,-97.479,7/7/1997,Class A,84.98,72.68,67.66,0.8,0.45,0.09,0.0003,1016.5,7,8.41,164,9.83
Caddo County,Oklahoma,Spring,34.9575,-98.31556,3/1/1992,Class A,74.31,47.48,40.33,0.52,0.43,0.91,,1017.88,5,8.88,181,5.82
Geary County,Kansas,Summer,39.1489,-96.9614,7/20/1980,Class A,101.92,69.5,63.1,0.46,0.68,0.26,,1011.36,5,9.21,214,6.03
Caddo Parish,Louisiana,Fall,32.7817,-93.9467,11/15/1987,Class A,71.16,62.15,62.59,0.86,0.98,0.81,0.1184,1012.01,3,6.78,138,11.56
Miami County,Kansas,Fall,38.6234,-94.6837,10/15/1998,Class A,78.92,60.91,60,0.75,0.05,0.85,,1010.87,5,7.82,169,15.67
Riley County,Kansas,Unknown,39.1463,-96.8223,1/18/2001,Class A,37.58,12.36,22.34,0.8,0.48,0.82,0.0088,1020.35,2,8.03,328,2.37
Sedgwick County,Kansas,Summer,37.52947,-97.60829,7/10/1978,Class A,87.86,67.48,66.95,0.7,0.58,0.16,0,1016.56,9,10,57,9.52
Sedgwick County,Kansas,Fall,37.64103,-97.40294,11/15/1975,Class A,67.63,41.95,33.35,0.55,0.33,0.4,0,1015.48,3,10,179,8.16
Sedgwick County,Kansas,Unknown,37.7715,-97.424,5/24/1998,Class B,84.88,59.18,57.07,0.67,0.42,0.96,0.0017,1011.47,7,7.66,89,7.9
Jackson County,Kansas,Unknown,39.33292,-95.84024,1/1/1960,Class A,39.9,22.97,31.51,0.84,0.94,0.11,0,1012.14,2,8.52,151,15.86
Amite County,Mississippi,Winter,31.1603,-90.71574,1/1/1973,Class A,48.36,39.38,37.56,0.78,0.95,0.91,,1023.19,3,7.04,23,10.87
Lauderdale County,Mississippi,Spring,32.3372,-88.74805,4/30/1977,Class A,81.27,53.35,54.35,0.7,0.08,0.39,0,1021,10,7.83,180,2.43
Lowndes County,Mississippi,Unknown,33.50025,-88.40335,8/6/1978,Class A,86.17,69.26,67.77,0.73,0.6,0.08,,1019.55,5,,332,1.52
Douglas County,Colorado,Fall,39.42923,-104.9677,9/2/1997,Class A,70.71,56.29,58.57,0.86,0.95,0.02,,1026.48,5,8.24,21,3.9
Eagle County,Colorado,Spring,39.6632,-106.8085,3/21/2000,Class A,51.16,20.74,20.68,0.58,0.25,0.56,0.0004,1011.37,7,9.89,260,3.92
St. Charles County,Missouri,Summer,38.655,-90.675,8/1/1976,Class A,78.35,64.3,56.86,0.69,0.36,0.2,0,1019.06,8,9.44,24,8.11
El Paso County,Colorado,Fall,38.8993,-104.9743,11/1/1997,Class A,43.68,20.06,21.8,0.65,0.2,0.04,0,1020.34,4,10,350,11.99
Fremont County,Colorado,Spring,38.54166,-104.9908,4/14/1998,Class A,47.81,29.42,31.65,0.78,0.69,0.59,0.0005,1007.88,6,8.47,7,10.02
Park County,Colorado,Summer,39.40305,-105.8226,9/4/1998,Class B,73.88,39.71,32.01,0.45,0,0.43,,1015.41,9,10,206,3.25
Teller County,Colorado,Fall,38.71225,-105.1744,10/1/1986,Class B,59.04,37.26,32.62,0.67,0.26,0.92,0,1010.62,6,10,120,3.48
Teller County,Colorado,Unknown,38.753,-105.1598,1/15/1981,Class A,32.62,10.14,10.71,0.64,0.85,0.34,0,1021.29,2,10,22,2.35
King County,Washington,Fall,47.2831,-121.9258,10/17/1984,Class A,49.28,35.85,35.51,0.78,0.75,0.75,0.0002,1014.16,2,8.2,192,3.69
King County,Washington,Spring,47.29944,-122.1806,4/18/1973,Class A,47.18,40.98,37.55,0.79,0.97,0.54,0.0159,1012.63,4,9.6,185,8.86
King County,Washington,Summer,47.5225,-121.7569,5/13/1970,Class B,58.56,45.59,39.64,0.74,0.58,0.26,0.0008,1026.64,7,8.71,184,3.6
King County,Washington,Summer,47.425,-121.4317,8/15/1984,Class B,72.32,58.28,42.66,0.52,0.11,0.63,0,1014.2,8,8.67,229,7.36
King County,Washington,Spring,47.3958,-121.5356,5/18/1998,Class B,52.18,43.2,31.55,0.59,0.85,0.74,0.0055,1021.94,4,6.02,256,7.96
King County,Washington,Summer,47.5103,-122.0456,8/17/1983,Class C,72.65,55.21,53.9,0.75,0.15,0.32,0,1016.33,8,10,358,6.08
King County,Washington,Spring,47.1826,-121.7713,6/18/1990,Class A,63.37,52.79,44.18,0.65,0.39,0.85,0,1023.92,8,7.32,261,7.23
King County,Washington,Fall,47.1998,-121.7565,9/13/1995,Class B,73.7,44.28,48.57,0.63,0.1,0.66,0,1020.41,6,9.58,44,1.68
Kitsap County,Washington,Summer,47.5279,-122.3454,6/22/1991,Class A,65.17,53.35,51.5,0.79,0.97,0.37,0,1017.52,5,8.67,273,2.3
Siskiyou County,California,Spring,41.45833,-122.4306,3/4/1999,Class A,40.3,24.58,21.61,0.63,0.63,0.58,0,1021.3,4,9.87,350,4.44
Kitsap County,Washington,Summer,47.7613,-122.7063,6/25/1988,Class A,74.24,56.43,51.91,0.63,0.76,0.36,0,1014.07,5,10,187,7.33
Kittitas County,Washington,Summer,47.25722,-120.8908,7/5/1997,Class B,71.75,53.75,46.09,0.55,0.51,0.04,,1014.73,9,8.6,252,8.18
Levy County,Florida,Summer,29.4179,-82.55556,6/15/1991,Class A,90.26,69.26,70.72,0.74,0.48,0.12,,1017.47,8,7.05,169,1.93
Talladega County,Alabama,Summer,33.48665,-85.8175,7/15/2000,Class B,92.42,64.53,64.68,0.66,0.05,0.47,0,1008.54,11,8.25,331,4.64
Comal County,Texas,Summer,29.57444,-98.03083,7/1/1993,Class B,91.99,76.21,71.02,0.69,0.78,0.43,0,1014.31,6,8.24,168,12.21
Yakima County,Washington,Winter,46.93333,-121.2692,10/28/2000,Class B,38.19,31.19,32.1,0.95,0.79,0.05,0.0074,1000.2,2,7.99,120,4.47
Hood River County,Oregon,Fall,45.5666,-121.7745,10/1/1974,Class B,73.32,43.72,40.72,0.75,0.49,0.51,,1015.99,3,8.83,263,1.18
Schuyler County,New York,Fall,42.32724,-76.75318,9/13/1999,Class A,76.42,59.91,52.91,0.67,0.31,0.13,,1018.6,6,9.997,188,7.98
La Salle Parish,Louisiana,Spring,31.6825,-92.3104,4/5/2000,Class A,73.08,49.94,43.04,0.63,0,0.03,,1021.19,9,10,197,5.98
Rapides Parish,Louisiana,Unknown,31.3799,-92.37835,7/15/1978,Class A,95.62,73.86,67.28,0.62,0.79,0.33,0.0041,1012.76,5,7.64,224,2.76
Rapides Parish,Louisiana,Summer,31.1375,-92.4976,7/15/1977,Class A,94.38,73.65,70.4,0.66,0.48,0.97,0,1019.09,10,6.68,84,2.54
Rapides Parish,Louisiana,Summer,31.3058,-92.4054,6/1/1981,Class A,87.59,70,67.2,0.75,0.57,0.97,0,1012.71,7,6.35,174,1.33
Yakima County,Washington,Summer,46.87139,-121.2981,6/13/2000,Class B,50.63,49.72,44.19,0.92,1,0.4,0.0075,1026.06,5,3.04,259,9.36
King County,Washington,Summer,47.4317,-121.7731,2/17/1996,Class B,52.42,48.44,48.46,0.99,1,0.96,0.0108,1009.34,2,6.56,135,6.03
Lake County,Florida,Fall,29.08405,-81.59005,10/15/1996,Class B,81.34,68.21,62.43,0.73,0.11,0.1,,1018.05,6,10,65,7.37
Mason County,Washington,Summer,47.1305,-123.0966,7/18/1960,Class A,86.1,53.92,54.94,0.62,0.09,0.84,0,1017.43,9,9.26,13,2.32
Union Parish,Louisiana,Fall,32.8057,-92.40895,11/15/1977,Class A,73.63,59.78,50.05,0.73,0.55,0.17,,1016.73,3,6.74,167,7.05
Jefferson County,Ohio,Fall,40.36957,-80.77387,11/1/1981,Class A,67.06,51.88,39.49,0.61,0.67,0.15,0,1028.34,3,8.07,147,2.69
Webster Parish,Louisiana,Unknown,32.4197,-93.4386,6/15/1979,Class B,86.43,65.75,62.09,0.67,0.12,0.69,0,1018.39,10,8.1,135,1.81
Snohomish County,Washington,Fall,48.0028,-121.9572,9/20/2000,Class A,57.84,52.59,54.01,0.94,0.89,0.74,,1015.38,3,4.04,296,0.61
Lewis And Clark County,Montana,Summer,46.76472,-111.8861,8/16/1977,Class A,81.01,48.08,43.53,0.53,0.18,0.06,0,1022.23,8,10,300,4.64
La Salle Parish,Louisiana,Fall,31.6825,-92.3104,11/18/2000,Class A,39.67,37.07,37.11,0.95,0.95,0.75,0.0439,1023.1,3,7.72,43,7.76
Grant Parish,Louisiana,Winter,31.4871,-92.3309,12/6/1996,Class A,76.98,56.62,59.39,0.85,0.51,0.86,,1008.79,2,8.91,214,9.55
